,Delta
2020-05-03 03:00:00,-1.2507802500000054
2020-05-03 04:00:00,-1.3507790000000028
2020-05-03 05:00:00,-1.4510424166666884
2020-05-03 06:00:00,-1.4333350833333398
2020-05-03 07:00:00,-1.3583340000000137
2020-05-03 08:00:00,-1.2651039166666465
2020-05-03 09:00:00,-1.6490885833333309
2020-05-03 10:00:00,-2.0417968333333363
2020-05-03 11:00:00,0.8427081666666609
2020-05-03 12:00:00,0.483463416666666
2020-05-03 13:00:00,-0.18463516666665925
2020-05-03 14:00:00,0.5079421666666589
2020-05-03 15:00:00,0.4661461666666682
2020-05-03 16:00:00,0.4428390833333395
2020-05-03 17:00:00,0.3739586666666597
2020-05-03 18:00:00,-0.16640574999998847
2020-05-03 19:00:00,0.5167974166666696
2020-05-03 20:00:00,-0.30039100000001184
2020-05-03 21:00:00,-0.5756514999999922
2020-05-03 22:00:00,-0.7187498333333266
2020-05-03 23:00:00,-0.7593744166666738
2020-05-04 00:00:00,-0.8078136666666609
2020-05-04 01:00:00,-1.0161464999999978
2020-05-04 02:00:00,-1.2002606666666793
2020-05-04 03:00:00,-1.2983074166666595
2020-05-04 04:00:00,-1.4180991666666785
2020-05-04 05:00:00,-1.481640916666663
2020-05-04 06:00:00,-1.5346340833333372
2020-05-04 07:00:00,-1.5329441666666597
2020-05-04 08:00:00,-1.4734380833333276
2020-05-04 09:00:00,-1.349479499999994
2020-05-04 10:00:00,-1.1166670000000067
2020-05-04 11:00:00,-0.8671868333333279
2020-05-04 12:00:00,-0.9498692499999848
2020-05-04 13:00:00,-1.1325523333333365
2020-05-04 14:00:00,-1.1743491666666586
2020-05-04 15:00:00,-1.2570305833333393
2020-05-04 16:00:00,-1.2671887500000096
2020-05-04 17:00:00,-1.292186583333354
2020-05-04 18:00:00,-1.5114580833333378
2020-05-04 19:00:00,-1.59244841666667
2020-05-04 20:00:00,-1.6571617500000002
2020-05-04 21:00:00,-1.7760415833333525
2020-05-04 22:00:00,-1.923828416666673
2020-05-04 23:00:00,-2.050260833333347
2020-05-05 00:00:00,-2.177212500000003
2020-05-05 01:00:00,-2.2343745833333277
2020-05-05 02:00:00,-2.18268291666665
2020-05-05 03:00:00,-2.083593833333332
2020-05-05 04:00:00,-2.0328131666666707
2020-05-05 05:00:00,-1.8329424166666684
2020-05-05 06:00:00,-1.7010429166666512
2020-05-05 07:00:00,-1.6332033333333411
2020-05-05 08:00:00,-1.5411465833333295
2020-05-05 09:00:00,-1.483332833333321
2020-05-05 10:00:00,-1.4514335000000074
2020-05-05 11:00:00,-1.3929684166666618
2020-05-05 12:00:00,-1.0401034166666605
2020-05-05 13:00:00,-0.833203999999995
2020-05-05 14:00:00,-0.7006507500000083
2020-05-05 15:00:00,-0.6997388333333276
2020-05-05 16:00:00,-0.6662759166666561
2020-05-05 17:00:00,-0.7007809999999921
2020-05-05 18:00:00,-0.7249982499999916
2020-05-05 19:00:00,-0.8165390000000059
2020-05-05 20:00:00,-1.0005206666666808
2020-05-05 21:00:00,-1.2084653333333435
2020-05-05 22:00:00,-1.2509113333333275
2020-05-05 23:00:00,-1.3312501666666634
2020-05-06 00:00:00,-1.4619780833333351
2020-05-06 01:00:00,-1.574610083333326
2020-05-06 02:00:00,-1.607551833333318
2020-05-06 03:00:00,-1.691146333333336
2020-05-06 04:00:00,-1.7552084166666762
2020-05-06 05:00:00,-1.8182293333333208
2020-05-06 06:00:00,-1.933333333333337
2020-05-06 07:00:00,-1.883333416666666
2020-05-06 08:00:00,-1.6494795833333242
2020-05-06 09:00:00,-1.7066405833333462
2020-05-06 10:00:00,-1.9335932499999868
2020-05-06 11:00:00,-2.0341146666666603
2020-05-06 12:00:00,-2.285026000000016
2020-05-06 13:00:00,-2.53216166666666
2020-05-06 14:00:00,-2.3755207499999926
2020-05-06 15:00:00,-2.1322920000000143
2020-05-06 16:00:00,-2.066928333333358
2020-05-06 17:00:00,-2.0828103333333274
2020-05-06 18:00:00,-2.2125016666666824
2020-05-06 19:00:00,-2.2713555000000127
2020-05-06 20:00:00,-2.373174499999997
2020-05-06 21:00:00,-2.443750333333341
2020-05-06 22:00:00,-2.7325525000000184
2020-05-06 23:00:00,-2.8915356666666625
2020-05-07 00:00:00,-3.0826820833333244
2020-05-07 01:00:00,-3.2589840833333312
2020-05-07 02:00:00,-3.243098499999988
2020-05-07 03:00:00,-3.2006494999999973
2020-05-07 04:00:00,-3.1509117500000063
2020-05-07 05:00:00,-3.1674481666666447
2020-05-07 06:00:00,-3.199740083333332
2020-05-07 07:00:00,-3.0490899166666736
2020-05-07 08:00:00,-2.9687487499999823
2020-05-07 09:00:00,-2.24166666666666
2020-05-07 10:00:00,-1.8834633333333384
2020-05-07 11:00:00,-1.5579427500000025
2020-05-07 12:00:00,-1.4337240833333382
2020-05-07 13:00:00,-1.5325535000000199
2020-05-07 14:00:00,-1.5408840833333315
2020-05-07 15:00:00,-1.3438789166666751
2020-05-07 16:00:00,-1.2885426666666862
2020-05-07 17:00:00,-1.4812499999999886
2020-05-07 18:00:00,-1.6471353333333454
2020-05-07 19:00:00,-1.7166653333333315
2020-05-07 20:00:00,-1.809245166666713
2020-05-07 21:00:00,-2.0346348333333357
2020-05-07 22:00:00,-2.2334625000000092
2020-05-07 23:00:00,-2.374478249999996
2020-05-08 00:00:00,-2.4928384999999835
2020-05-08 01:00:00,-2.707552583333332
2020-05-08 02:00:00,-2.875519666666655
2020-05-08 03:00:00,-2.949609500000008
2020-05-08 04:00:00,-3.0010418333333253
2020-05-08 05:00:00,-2.9412753333333304
2020-05-08 06:00:00,-2.8998698333333337
2020-05-08 07:00:00,-2.8498694999999827
2020-05-08 08:00:00,-2.783593249999996
2020-05-08 09:00:00,-2.792707999999997
2020-05-08 10:00:00,-2.900000249999991
2020-05-08 11:00:00,-2.574739500000007
2020-05-08 12:00:00,-2.2834634166666703
2020-05-08 13:00:00,-1.9906257500000064
2020-05-08 14:00:00,-1.719791999999991
2020-05-08 15:00:00,-1.5006525833333342
2020-05-08 16:00:00,-1.425519416666667
2020-05-08 17:00:00,-1.333986750000001
2020-05-08 18:00:00,-1.2171883333333469
2020-05-08 19:00:00,-1.2666658333333205
2020-05-08 20:00:00,-1.2502609166666687
2020-05-08 21:00:00,-1.3083322499999994
2020-05-08 22:00:00,-1.2925780000000058
2020-05-08 23:00:00,-1.2749995000000072
2020-05-09 00:00:00,-1.3001305833333348
2020-05-09 01:00:00,-1.3338536666666556
2020-05-09 02:00:00,-1.3933595833333283
2020-05-09 03:00:00,-1.4734372499999964
