Date,kW,OAT,AHU_01_Discharge_Fan_01_Speed
2019-01-02 00:15:00,369.29699999999997,7.085966746,0.0
2019-01-02 00:30:00,350.284,7.921866735,0.0
2019-01-02 00:45:00,364.819,7.95963335,0.0
2019-01-02 01:00:00,355.01099999999997,7.391900063,0.0
2019-01-02 01:15:00,369.348,7.874999841,0.0
2019-01-02 01:30:00,374.31800000000004,8.127600034,0.0
2019-01-02 01:45:00,351.98199999999997,8.63800017,0.0
2019-01-02 02:00:00,380.335,8.671899796,0.0
2019-01-02 02:15:00,353.065,8.45963335,0.0
2019-01-02 02:30:00,369.00800000000004,7.96483326,0.0
2019-01-02 02:45:00,351.504,7.242166677999999,0.0
2019-01-02 03:00:00,365.593,6.542966684,0.0
2019-01-02 03:15:00,377.847,7.669266701000001,0.0
2019-01-02 03:30:00,346.921,6.654933294,0.0
2019-01-02 03:45:00,372.879,6.542933305,0.0
2019-01-02 04:00:00,368.24199999999996,6.519499937999999,0.0
2019-01-02 04:15:00,359.305,6.890633265,0.0
2019-01-02 04:30:00,384.334,7.22266674,0.0
2019-01-02 04:45:00,371.74199999999996,7.195300102000001,0.0
2019-01-02 05:00:00,372.06800000000004,7.372400125,0.0
2019-01-02 05:15:00,367.089,8.134100119,0.0
2019-01-02 05:30:00,363.658,9.083333332999999,0.0
2019-01-02 05:45:00,412.67400000000004,10.12239997,34.8
2019-01-02 06:00:00,728.1360000000001,10.54949983,60.97
2019-01-02 06:15:00,1015.325,10.72659969,60.55
2019-01-02 06:30:00,1051.268,11.268233300000002,60.35
2019-01-02 06:45:00,1047.988,11.72656663,60.26
2019-01-02 07:00:00,1008.324,11.632800099999999,60.26
2019-01-02 07:15:00,1019.265,11.63020007,60.16
2019-01-02 07:30:00,1025.077,12.23436673,60.46
2019-01-02 07:45:00,1003.612,13.11979993,60.46
2019-01-02 08:00:00,980.303,14.01303323,60.44
2019-01-02 08:15:00,977.802,15.08856646,60.51
2019-01-02 08:30:00,950.502,16.33333333,60.44
2019-01-02 08:45:00,936.807,17.52606646,60.4
2019-01-02 09:00:00,917.94,18.48959986,60.42
2019-01-02 09:15:00,925.461,19.5625,60.44
2019-01-02 09:30:00,877.2130000000001,20.93229993,60.45
2019-01-02 09:45:00,860.802,22.22393354,60.32
2019-01-02 10:00:00,836.133,23.28126653,60.46
2019-01-02 10:15:00,816.9789999999999,24.463533399999996,60.42
2019-01-02 10:30:00,800.602,25.42709986,60.11
2019-01-02 10:45:00,800.842,26.6875,60.14
2019-01-02 11:00:00,772.927,28.01040014,60.07
2019-01-02 11:15:00,770.7810000000001,28.95833333,60.2
2019-01-02 11:30:00,750.248,29.90626653,60.54
2019-01-02 11:45:00,748.7230000000001,30.58850034,60.57
2019-01-02 12:00:00,735.27,31.38020007,60.73
2019-01-02 12:15:00,733.763,32.421899800000006,60.82
2019-01-02 12:30:00,711.1039999999999,33.5520668,60.93
2019-01-02 12:45:00,706.194,34.44793320000001,61.09
2019-01-02 13:00:00,696.2260000000001,35.29169973,61.17
2019-01-02 13:15:00,712.067,35.53126653,61.22
2019-01-02 13:30:00,691.1089999999999,36.21876653,61.22
2019-01-02 13:45:00,700.926,36.87503306,61.25
2019-01-02 14:00:00,692.88,37.71873347,61.36
2019-01-02 14:15:00,660.2310000000001,38.34376653,61.38
2019-01-02 14:30:00,635.033,39.02083333,61.35
2019-01-02 14:45:00,631.96,39.30206679999999,61.4
2019-01-02 15:00:00,601.98,39.94790014,61.69
2019-01-02 15:15:00,560.113,40.4375,61.6
2019-01-02 15:30:00,540.827,40.29166667,61.59
2019-01-02 15:45:00,543.4730000000001,40.01040014,61.4
2019-01-02 16:00:00,564.839,39.875,61.29
2019-01-02 16:15:00,588.715,39.76043320000001,60.99
2019-01-02 16:30:00,593.997,38.79169973,60.76
2019-01-02 16:45:00,593.4259999999999,37.91666667,60.59
2019-01-02 17:00:00,602.206,37.59373347,0.0
2019-01-02 17:15:00,464.899,36.40623347,0.0
2019-01-02 17:30:00,223.55599999999998,35.65626653,0.0
2019-01-02 17:45:00,235.104,35.20833333,0.0
