Date,hwr,hws,oat
2017-10-01 03:00:08.127000-05:00,172.1936,183.9226,50.2495
2017-10-01 03:00:08.252000-05:00,172.1936,183.9226,50.2495
2017-10-01 03:11:43.075000-05:00,172.1936,183.9226,50.2495
2017-10-01 03:15:10.405000-05:00,172.1936,183.9226,49.8669
2017-10-01 03:15:10.447000-05:00,172.1936,185.379,49.8669
2017-10-01 03:15:10.482000-05:00,174.1383,185.379,49.8669
2017-10-01 03:15:10.511000-05:00,174.1383,185.379,49.8669
2017-10-01 03:15:10.543000-05:00,174.1383,185.379,49.8669
2017-10-01 03:15:10.696000-05:00,174.1383,185.379,49.8669
2017-10-01 03:30:13.286000-05:00,174.1383,185.379,49.476
2017-10-01 03:30:13.305000-05:00,174.1383,184.4317,49.476
2017-10-01 03:30:13.334000-05:00,174.4495,184.4317,49.476
2017-10-01 03:30:13.359000-05:00,174.4495,184.4317,49.476
2017-10-01 03:30:13.378000-05:00,174.4495,184.4317,49.476
2017-10-01 03:30:13.524000-05:00,174.4495,184.4317,49.476
2017-10-01 03:45:16.774000-05:00,174.4495,184.4317,49.4614
2017-10-01 03:45:16.792000-05:00,174.4495,184.0501,49.4614
2017-10-01 03:45:16.811000-05:00,174.6621,184.0501,49.4614
2017-10-01 03:45:16.838000-05:00,174.6621,184.0501,49.4614
2017-10-01 03:45:16.861000-05:00,174.6621,184.0501,49.4614
2017-10-01 03:45:16.991000-05:00,174.6621,184.0501,49.4614
2017-10-01 03:59:53.483000-05:00,174.6621,184.0501,49.4614
2017-10-01 04:00:16.739000-05:00,174.6621,184.0501,49.3906
2017-10-01 04:00:16.758000-05:00,174.6621,186.6652,49.3906
2017-10-01 04:00:16.790000-05:00,173.7999,186.6652,49.3906
2017-10-01 04:00:16.813000-05:00,173.7999,186.6652,49.3906
2017-10-01 04:00:16.831000-05:00,173.7999,186.6652,49.3906
2017-10-01 04:00:17.011000-05:00,173.7999,186.6652,49.3906
2017-10-01 04:15:16.976000-05:00,173.7999,186.6652,48.9495
2017-10-01 04:15:17.006000-05:00,173.7999,186.3907,48.9495
2017-10-01 04:15:17.025000-05:00,175.8275,186.3907,48.9495
2017-10-01 04:15:17.043000-05:00,175.8275,186.3907,48.9495
2017-10-01 04:15:17.062000-05:00,175.8275,186.3907,48.9495
2017-10-01 04:15:17.182000-05:00,175.8275,186.3907,48.9495
2017-10-01 04:30:08.342000-05:00,175.8275,186.3907,48.8079
2017-10-01 04:30:08.358000-05:00,175.8275,185.8713,48.8079
2017-10-01 04:30:08.375000-05:00,178.145,185.8713,48.8079
2017-10-01 04:30:08.391000-05:00,178.145,185.8713,48.8079
2017-10-01 04:30:08.408000-05:00,178.145,185.8713,48.8079
2017-10-01 04:30:08.519000-05:00,178.145,185.8713,48.8079
2017-10-01 04:44:01.637000-05:00,178.145,185.8713,48.8079
2017-10-01 04:45:08.831000-05:00,178.145,185.8713,48.6992
2017-10-01 04:45:08.850000-05:00,178.145,186.1414,48.6992
2017-10-01 04:45:08.958000-05:00,178.5,186.1414,48.6992
2017-10-01 04:45:08.977000-05:00,178.5,186.1414,48.6992
2017-10-01 04:45:08.996000-05:00,178.5,186.1414,48.6992
2017-10-01 04:45:09.121000-05:00,178.5,186.1414,48.6992
2017-10-01 05:00:08.664000-05:00,178.5,186.1414,48.5539
2017-10-01 05:00:08.699000-05:00,178.5,186.6395,48.5539
2017-10-01 05:00:08.729000-05:00,178.8055,186.6395,48.5539
2017-10-01 05:00:08.748000-05:00,178.8055,186.6395,48.5539
2017-10-01 05:00:08.768000-05:00,178.8055,186.6395,48.5539
2017-10-01 05:00:08.902000-05:00,178.8055,186.6395,48.5539
2017-10-01 05:15:08.148000-05:00,178.8055,186.6395,48.2326
2017-10-01 05:15:08.179000-05:00,178.8055,186.9232,48.2326
2017-10-01 05:15:08.217000-05:00,178.9644,186.9232,48.2326
2017-10-01 05:15:08.245000-05:00,178.9644,186.9232,48.2326
2017-10-01 05:15:08.262000-05:00,178.9644,186.9232,48.2326
2017-10-01 05:15:08.371000-05:00,178.9644,186.9232,48.2326
2017-10-01 05:23:30.225000-05:00,178.9644,186.9232,48.2326
2017-10-01 05:30:07.908000-05:00,178.9644,186.9232,47.8737
2017-10-01 05:30:07.925000-05:00,178.9644,186.9984,47.8737
2017-10-01 05:30:07.942000-05:00,179.164,186.9984,47.8737
2017-10-01 05:30:07.959000-05:00,179.164,186.9984,47.8737
2017-10-01 05:30:07.976000-05:00,179.164,186.9984,47.8737
2017-10-01 05:30:08.086000-05:00,179.164,186.9984,47.8737
2017-10-01 05:45:08.632000-05:00,179.164,186.9984,47.5827
2017-10-01 05:45:08.650000-05:00,179.164,186.9622,47.5827
2017-10-01 05:45:08.669000-05:00,179.2413,186.9622,47.5827
2017-10-01 05:45:08.716000-05:00,179.2413,186.9622,47.5827
2017-10-01 05:45:08.732000-05:00,179.2413,186.9622,47.5827
2017-10-01 05:45:08.838000-05:00,179.2413,186.9622,47.5827
2017-10-01 06:00:08.718000-05:00,179.2413,186.9622,47.0828
2017-10-01 06:00:08.739000-05:00,179.2413,186.7098,47.0828
2017-10-01 06:00:08.767000-05:00,179.3225,186.7098,47.0828
2017-10-01 06:00:08.785000-05:00,179.3225,186.7098,47.0828
2017-10-01 06:00:08.806000-05:00,179.3225,186.7098,47.0828
2017-10-01 06:00:08.919000-05:00,179.3225,186.7098,47.0828
2017-10-01 06:09:25.393000-05:00,179.3225,186.7098,47.0828
2017-10-01 06:15:08.034000-05:00,179.3225,186.7098,47.0977
2017-10-01 06:15:08.052000-05:00,179.3225,186.679,47.0977
2017-10-01 06:15:08.071000-05:00,178.935,186.679,47.0977
2017-10-01 06:15:08.091000-05:00,178.935,186.679,47.0977
2017-10-01 06:15:08.110000-05:00,178.935,186.679,47.0977
2017-10-01 06:15:08.242000-05:00,178.935,186.679,47.0977
2017-10-01 06:30:08.028000-05:00,178.935,186.679,46.9676
2017-10-01 06:30:08.047000-05:00,178.935,186.7038,46.9676
2017-10-01 06:30:08.074000-05:00,178.6472,186.7038,46.9676
2017-10-01 06:30:08.093000-05:00,178.6472,186.7038,46.9676
2017-10-01 06:30:08.120000-05:00,178.6472,186.7038,46.9676
2017-10-01 06:30:08.249000-05:00,178.6472,186.7038,46.9676
2017-10-01 06:45:08.078000-05:00,178.6472,186.7038,47.3406
2017-10-01 06:45:08.095000-05:00,178.6472,186.6993,47.3406
2017-10-01 06:45:08.114000-05:00,178.5815,186.6993,47.3406
2017-10-01 06:45:08.131000-05:00,178.5815,186.6993,47.3406
2017-10-01 06:45:08.151000-05:00,178.5815,186.6993,47.3406
2017-10-01 06:45:08.287000-05:00,178.5815,186.6993,47.3406
2017-10-01 06:56:15.013000-05:00,178.5815,186.6993,47.3406
2017-10-01 07:00:08.879000-05:00,178.5815,186.6993,47.9249
2017-10-01 07:00:08.898000-05:00,178.5815,186.8097,47.9249
2017-10-01 07:00:08.918000-05:00,178.4706,186.8097,47.9249
2017-10-01 07:00:08.947000-05:00,178.4706,186.8097,47.9249
2017-10-01 07:00:08.978000-05:00,178.4706,186.8097,47.9249
2017-10-01 07:00:09.109000-05:00,178.4706,186.8097,47.9249
2017-10-01 07:15:08.381000-05:00,178.4706,186.8097,48.6941
2017-10-01 07:15:08.399000-05:00,178.4706,186.963,48.6941
2017-10-01 07:15:08.417000-05:00,178.3764,186.963,48.6941
2017-10-01 07:15:08.439000-05:00,178.3764,186.963,48.6941
2017-10-01 07:15:08.467000-05:00,178.3764,186.963,48.6941
2017-10-01 07:15:08.603000-05:00,178.3764,186.963,48.6941
2017-10-01 07:30:11.191000-05:00,178.3764,186.963,49.2747
2017-10-01 07:30:11.209000-05:00,178.3764,186.7454,49.2747
2017-10-01 07:30:11.226000-05:00,178.3152,186.7454,49.2747
2017-10-01 07:30:11.244000-05:00,178.3152,186.7454,49.2747
2017-10-01 07:30:11.262000-05:00,178.3152,186.7454,49.2747
2017-10-01 07:30:11.393000-05:00,178.3152,186.7454,49.2747
2017-10-01 07:40:10.307000-05:00,178.3152,186.7454,49.2747
2017-10-01 07:45:13.043000-05:00,178.3152,186.7454,49.6458
2017-10-01 07:45:13.078000-05:00,178.3152,185.7955,49.6458
2017-10-01 07:45:13.103000-05:00,177.9494,185.7955,49.6458
2017-10-01 07:45:13.123000-05:00,177.9494,185.7955,49.6458
2017-10-01 07:45:13.150000-05:00,177.9494,185.7955,49.6458
2017-10-01 07:45:13.290000-05:00,177.9494,185.7955,49.6458
2017-10-01 08:00:16.120000-05:00,177.9494,185.7955,50.1291
2017-10-01 08:00:16.139000-05:00,177.9494,185.7787,50.1291
