Date,hwr,hws,oat
2017-10-25 08:30:08.321,171.4208,186.4475,35.3198
2017-10-25 08:30:08.339,171.4208,186.5863,35.3198
2017-10-25 08:30:08.359,173.4351,186.5863,35.3198
2017-10-25 08:30:08.387,173.4351,186.5863,35.3198
2017-10-25 08:30:08.404,173.4351,186.5863,35.3198
2017-10-25 08:30:08.505,173.4351,186.5863,35.3198
2017-10-25 08:41:38.077,173.4351,186.5863,35.3198
2017-10-25 08:45:07.953,173.4351,186.5863,35.2949
2017-10-25 08:45:07.977,173.4351,186.3616,35.2949
2017-10-25 08:45:07.996,173.4843,186.3616,35.2949
2017-10-25 08:45:08.027,173.4843,186.3616,35.2949
2017-10-25 08:45:08.046,173.4843,186.3616,35.2949
2017-10-25 08:45:08.177,173.4843,186.3616,35.2949
2017-10-25 08:58:40.125,173.4843,186.3616,35.2949
2017-10-25 09:00:07.918,173.4843,186.3616,35.5922
2017-10-25 09:00:07.935,173.4843,185.9445,35.5922
2017-10-25 09:00:07.955,173.6121,185.9445,35.5922
2017-10-25 09:00:07.973,173.6121,185.9445,35.5922
2017-10-25 09:00:07.992,173.6121,185.9445,35.5922
2017-10-25 09:00:08.115,173.6121,185.9445,35.5922
2017-10-25 09:06:45.050,173.6121,185.9445,35.5922
2017-10-25 09:15:07.915,173.6121,185.9445,35.9402
2017-10-25 09:15:07.932,173.6121,186.8718,35.9402
2017-10-25 09:15:07.950,173.0991,186.8718,35.9402
2017-10-25 09:15:07.967,173.0991,186.8718,35.9402
2017-10-25 09:15:07.986,173.0991,186.8718,35.9402
2017-10-25 09:15:08.120,173.0991,186.8718,35.9402
2017-10-25 09:16:21.257,173.0991,186.8718,35.9402
2017-10-25 09:26:27.104,173.0991,186.8718,35.9402
2017-10-25 09:30:08.994,173.0991,186.8718,36.124
2017-10-25 09:30:09.011,173.0991,185.3039,36.124
2017-10-25 09:30:09.030,174.984,185.3039,36.124
2017-10-25 09:30:09.048,174.984,185.3039,36.124
2017-10-25 09:30:09.076,174.984,185.3039,36.124
2017-10-25 09:30:09.193,174.984,185.3039,36.124
2017-10-25 09:43:42.648,174.984,185.3039,36.124
2017-10-25 09:45:08.231,174.984,185.3039,36.0015
2017-10-25 09:45:08.256,174.984,187.4139,36.0015
2017-10-25 09:45:08.274,175.6147,187.4139,36.0015
