Date,OAT,kWH
9/29/2019,56.29375,4018.5
9/30/2019,74.11736111,6866.00001
10/1/2019,71.04236111,7494.818194
10/2/2019,53.71388889,6071.500005
10/3/2019,53.52430556,6140.5
10/4/2019,49.54583333,6215.500003
10/5/2019,51.82430556,3809.5
10/6/2019,54.59930556,3556
10/7/2019,53.74791667,6185.000003
10/8/2019,54.22152778,6014.000003
10/9/2019,57.28541667,6396
10/10/2019,61.20486111,6768.000003
10/11/2019,48.88333333,6702.000005
10/12/2019,38.24791667,5594.5
10/13/2019,38.16319444,5462
10/14/2019,39.87777778,7859.500013
10/15/2019,48.18055556,7490.000003
10/16/2019,45.04275794,6474.000003
10/17/2019,44.74166667,6868.500005
10/18/2019,46.42361111,6129
10/19/2019,52.69583333,3746
10/20/2019,53.81805556,3015.5
10/21/2019,53.70138889,6070.000003
10/22/2019,45.81319444,6894.00001
10/23/2019,44.37361111,6649.000005
10/24/2019,39.32361111,6820.00001
10/25/2019,36.42638889,6663.000018
10/26/2019,39.28819444,4349
10/27/2019,44.775,3833.5
10/28/2019,41.37152778,6995.500003
10/29/2019,31.48472222,7815.50002
10/30/2019,30.59166667,8170.000015
10/31/2019,27.36736111,8468.00001
11/1/2019,29.80902778,8313.000015
11/2/2019,35.075,4891.318182
11/3/2019,36.98888889,4333.5
11/4/2019,40.18819444,7932.00001
11/5/2019,30.69513889,8556.500005
11/6/2019,28.71666667,8646.500007
11/7/2019,17.95416667,8924.500005
11/8/2019,19.94791667,9079.500007
11/9/2019,34.29444444,4384.5
11/10/2019,33.73402778,4432.5
11/11/2019,17.72291667,9774.00001
11/12/2019,9.6125,9686.00001
11/13/2019,18.63680556,9935.000005
11/14/2019,24.18333333,10574.5
11/15/2019,29.99791667,7968.000025
11/16/2019,31.62777778,4726
11/17/2019,33.3,5216
11/18/2019,33.96944444,8938.000005
11/19/2019,35.54375,8476.000017
11/20/2019,40.43611111,7451.000008
11/21/2019,42.12013889,7165.500005
11/22/2019,26.80208333,8832.000015
11/23/2019,30.55347222,5516.5
11/24/2019,37.44236111,4331
11/25/2019,38.53611111,8012.000013
11/26/2019,37.65763889,7470.500013
11/27/2019,36.11388889,5196.5
11/28/2019,31.03501984,4455
11/29/2019,33.06041667,4597.5
11/30/2019,34.78888889,5707.5
12/1/2019,31.60763889,4853.5
12/2/2019,27.38680556,9580.500007
12/3/2019,31.89791667,8600.000023
12/4/2019,32.97361111,8268.136381
12/5/2019,33.2,8336.500017
12/6/2019,30.3375,8661.500013
12/7/2019,31.24236111,6216
12/8/2019,35.17430556,5107.5
12/9/2019,33.29236111,8655.50001
12/10/2019,14.20486111,9687.000005
12/11/2019,11.94791667,10192.00001
12/12/2019,28.6375,9538.000003
12/13/2019,29.51666667,8899.000005
12/14/2019,24.37361111,6673.500003
12/15/2019,16.01319444,6735
12/16/2019,23.07083333,10151.50001
12/17/2019,22.17222222,9592.50002
12/18/2019,10.45555556,9996.000005
12/19/2019,22.78194444,9687.000005
12/20/2019,30.36527778,8555.50001
12/21/2019,34.06388889,5814.5
12/22/2019,38.69236111,4851.5
12/23/2019,37.36805556,4820.5
12/24/2019,39.11527778,4315.5
12/25/2019,42.83611111,4044.5
12/26/2019,40.59305556,4981.5
12/27/2019,30.48958333,5528.5
12/28/2019,32.70347222,5916.5
12/29/2019,48.67847222,3957
12/30/2019,30.8125,5922.5
12/31/2019,23.39027778,6774.500005
1/1/2020,26.70625,6094
1/2/2020,38.61736111,5726
