Date,ahuDat,ahuStatic,hws,oat,vavDat,vavDpr,vavHtg,znt
2018-02-01 02:45:02.998000-06:00,64.2733,0.43081074953079224,157.9278,18.9038,86.1252,70.0,100.0,61.3657
2018-02-01 02:45:03.012000-06:00,64.2733,0.43081074953079224,157.9278,18.9038,86.1252,70.0,100.0,61.2622
2018-02-01 02:45:06.770000-06:00,64.2733,0.43081074953079224,161.0917,18.9038,86.1252,70.0,100.0,61.2622
2018-02-01 02:45:06.818000-06:00,64.2733,0.43081074953079224,161.0917,17.8861,86.1252,70.0,100.0,61.2622
2018-02-01 03:00:03.010000-06:00,64.2733,0.43081074953079224,161.0917,17.8861,85.9325,70.0,100.0,61.2622
2018-02-01 03:00:03.023000-06:00,64.2733,0.43081074953079224,161.0917,17.8861,85.9325,70.0,100.0,61.149
2018-02-01 03:00:06.822000-06:00,64.2733,0.43081074953079224,160.3385,17.8861,85.9325,70.0,100.0,61.149
2018-02-01 03:00:06.881000-06:00,64.2733,0.43081074953079224,160.3385,17.0633,85.9325,70.0,100.0,61.149
2018-02-01 03:15:02.988000-06:00,64.2733,0.43081074953079224,160.3385,17.0633,85.7036,70.0,100.0,61.149
2018-02-01 03:15:03.001000-06:00,64.2733,0.43081074953079224,160.3385,17.0633,85.7036,70.0,100.0,61.0111
2018-02-01 03:15:06.786000-06:00,64.2733,0.43081074953079224,160.9715,17.0633,85.7036,70.0,100.0,61.0111
2018-02-01 03:15:06.844000-06:00,64.2733,0.43081074953079224,160.9715,15.6752,85.7036,70.0,100.0,61.0111
2018-02-01 03:30:03.040000-06:00,64.2733,0.43081074953079224,160.9715,15.6752,85.7062,70.0,100.0,61.0111
2018-02-01 03:30:03.053000-06:00,64.2733,0.43081074953079224,160.9715,15.6752,85.7062,70.0,100.0,60.8762
2018-02-01 03:30:06.884000-06:00,64.2733,0.43081074953079224,157.6873,15.6752,85.7062,70.0,100.0,60.8762
2018-02-01 03:30:06.931000-06:00,64.2733,0.43081074953079224,157.6873,14.3207,85.7062,70.0,100.0,60.8762
2018-02-01 03:45:02.942000-06:00,64.2733,0.43081074953079224,157.6873,14.3207,85.2511,70.0,100.0,60.8762
2018-02-01 03:45:02.956000-06:00,64.2733,0.43081074953079224,157.6873,14.3207,85.2511,70.0,100.0,60.7954
2018-02-01 03:45:06.781000-06:00,64.2733,0.43081074953079224,161.7491,14.3207,85.2511,70.0,100.0,60.7954
2018-02-01 03:45:06.828000-06:00,64.2733,0.43081074953079224,161.7491,12.3643,85.2511,70.0,100.0,60.7954
2018-02-01 04:00:03.082000-06:00,64.2733,0.43081074953079224,161.7491,12.3643,85.0532,70.0,100.0,60.7954
2018-02-01 04:00:03.095000-06:00,64.2733,0.43081074953079224,161.7491,12.3643,85.0532,70.0,100.0,60.7283
